Mass (kg),Waves,Wavelength (m),Frequency (Hz),Amplitude (m),,,,,,,,,,,,,,
0.2,0.5,2.36,44,0.075,,,,,,,,,,,,,,
,1,1.18,85,0.015,,,,,,,,,,,,,,
,1.5,0.7866666667,132,0.012,,,,,,,,,,,,,,
,2,0.59,151,0.009,,,,,,,,,,,,,,
,2.5,0.472,173,0.008,,,,,,,,,,,,,,
,3,0.3933333333,215,0.004,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Mass (kg),Waves,Frequency (Hz),Amplitude (m)
,,,,,,,,,,,,,,,0.07,0.5,26,0.052
,,,,,,,,,,,,,,,Voltage (V),1,46,0.036
,,,,,,,,,,,,,,,1.5,1.5,75,0.014
,,,,,,,,,,,,,,,,2,101,0.009
,,,,,,,,,,,,,,,,2.5,126,0.008
,,,,,,,,,,,,,,,,3,146,0.007