Time (s),Position (m),Velocity (m/s),Predicted Velocity (m/s)
0.35,1.3282675,-0.05831,
0.4,1.316434,-0.23667,
0.45,1.301342,-0.30184,
0.5,1.2812765,-0.40131,
0.55,1.260182,-0.42189,
0.6,1.228969,-0.62426,
0.65,1.196384,-0.6517,
0.7,1.1595115,-0.73745,
0.75,1.1207525,-0.77518,
0.8,1.0789065,-0.83692,
0.85,1.0394615,-0.7889,
0.9,0.9910985,-0.96726,
0.95,0.943593,-0.95011,
1,0.897288,-0.9261,
1.05,0.8466955,-1.01185,
1.1,0.795417,-1.02557,
1.15,0.742938,-1.04958,
1.2,0.688744,-1.08388,
1.25,0.6336925,-1.10103,
1.3,0.5760685,-1.15248,
1.35,0.5136425,-1.24852,
1.4,0.4525885,-1.22108,
1.45,0.393764,-1.17649,
1.5,0.3291085,-1.29311,
1.55,0.266854,-1.24509,
1.6,0.206143,-1.21422,
1.65,0.182476,-0.47334,