Calibrated Time (s),Calibrated X Position (m),Y Position (m)
0,0.003679429907,0.00400006013
0.03333333333,0.01651641204,0.0160695467
0.06666666667,0.08517012745,0.09258390209
0.1,0.1831124636,0.1806354487
0.1333333333,0.2605057252,0.2492025114
0.1666666667,0.3479630817,0.3177324372
0.2,0.4284263256,0.3732892124
0.2333333333,0.5228159,0.4188190294
0.2666666667,0.6160542312,0.4517099277
0.3,0.7046009363,0.4785970301
0.3333333333,0.7943979163,0.4894657575
0.3666666667,0.8913870725,0.4955314481
0.4,0.9827561806,0.488995357
0.4333333333,1.075598385,0.4707982849
0.4666666667,1.172203793,0.4443568251
0.5,1.291116089,0.4000277672
0.5333333333,1.367494276,0.3610711783
0.5666666667,1.461735303,0.3077797529
0.6,1.569580807,0.2328251466
0.6333333333,1.671100663,0.1587123095
0.6666666667,1.762865898,0.07203482751
0.7,1.86085775,-0.01501402333
0.7333333333,1.956819452,-0.1377142807
0.7666666667,2.045836558,-0.2515140653
0.8,2.142800956,-0.3776928106
0.8333333333,2.231347661,-0.5115836483
0.8666666667,2.319436345,-0.65114405
0.9,2.400852769,-0.794356245
0.9333333333,2.487047471,-0.9474963664